Date,Open,High,Low,Close,Adj Close,Volume
2015-01-20,33675.000000,34200.000000,33675.000000,34200.000000,30786.119141,2530300
2015-01-21,34200.000000,35950.000000,34200.000000,35950.000000,32361.427734,2889000
2015-01-22,35000.000000,36000.000000,35000.000000,35800.000000,32226.400391,1303100
2015-01-23,36050.000000,36275.000000,35800.000000,36200.000000,32586.470703,2329700
2015-01-26,36100.000000,36100.000000,34125.000000,35500.000000,31956.351563,3573700
2015-01-27,35500.000000,35625.000000,34825.000000,35525.000000,31978.859375,1178900
2015-01-28,35500.000000,35700.000000,35225.000000,35500.000000,31956.351563,1039500
2015-01-29,35600.000000,35650.000000,35125.000000,35375.000000,31843.832031,1043700
2015-01-30,35600.000000,35900.000000,35500.000000,35825.000000,32248.902344,1966400
2015-02-02,36000.000000,36675.000000,35750.000000,36175.000000,32563.968750,1498300
2015-02-03,36100.000000,36500.000000,36100.000000,36375.000000,32744.005859,590500
2015-02-04,36350.000000,36500.000000,36325.000000,36400.000000,32766.511719,1645900
2015-02-05,36000.000000,36000.000000,34850.000000,35250.000000,31731.308594,2931600
2015-02-06,35000.000000,37000.000000,35000.000000,36650.000000,32991.554688,2361200
2015-02-09,36900.000000,36900.000000,36000.000000,36125.000000,32518.958984,722300
2015-02-10,36125.000000,36675.000000,35500.000000,35500.000000,31956.351563,1790900
2015-02-11,36000.000000,36000.000000,35575.000000,35675.000000,32113.875000,1270300
2015-02-12,35675.000000,35675.000000,35200.000000,35675.000000,32113.875000,993100
2015-02-13,35800.000000,36400.000000,35400.000000,36325.000000,32698.988281,1109600
2015-02-16,36425.000000,36425.000000,35100.000000,35100.000000,31596.275391,1152800
2015-02-17,35600.000000,35900.000000,35350.000000,35900.000000,32316.419922,807500
2015-02-18,35900.000000,36000.000000,35500.000000,35500.000000,31956.351563,1038900
2015-02-20,35500.000000,35800.000000,35300.000000,35325.000000,31798.816406,1313500
2015-02-23,35400.000000,36100.000000,35400.000000,36050.000000,32451.451172,1280400
2015-02-24,36000.000000,36050.000000,35700.000000,36025.000000,32428.941406,1133800
2015-02-25,36100.000000,36350.000000,36025.000000,36350.000000,32721.501953,1320000
2015-02-26,36150.000000,36650.000000,35725.000000,36500.000000,32856.531250,1747300
2015-02-27,36125.000000,36425.000000,36000.000000,36000.000000,32406.431641,1994200
2015-03-02,36000.000000,36500.000000,35750.000000,36400.000000,32766.511719,1203700
2015-03-03,36250.000000,36650.000000,36075.000000,36075.000000,32473.953125,1846000
2015-03-04,36200.000000,36350.000000,36050.000000,36100.000000,32496.458984,626000
2015-03-05,36250.000000,36725.000000,36100.000000,36250.000000,32631.484375,1142200
2015-03-06,36500.000000,37800.000000,36350.000000,37800.000000,34026.753906,2487000
2015-03-09,37500.000000,37500.000000,37050.000000,37500.000000,33756.710938,2183300
2015-03-10,37300.000000,37800.000000,36525.000000,37800.000000,34026.753906,2241600
2015-03-11,37500.000000,38750.000000,37100.000000,38750.000000,34881.929688,3453400
2015-03-12,38750.000000,39825.000000,38500.000000,39825.000000,35849.621094,2360800
2015-03-13,39800.000000,40125.000000,39500.000000,39875.000000,35894.636719,1531300
2015-03-16,39875.000000,39875.000000,39500.000000,39575.000000,35624.578125,1532000
2015-03-17,39575.000000,39850.000000,38875.000000,39000.000000,35106.972656,1361700
2015-03-18,38950.000000,38950.000000,37500.000000,37500.000000,33756.710938,2161200
2015-03-19,38000.000000,38500.000000,38000.000000,38300.000000,34476.847656,1517200
2015-03-20,38300.000000,38475.000000,38075.000000,38300.000000,34476.847656,2131100
2015-03-23,38325.000000,38800.000000,38325.000000,38625.000000,34769.410156,932500
2015-03-24,38650.000000,39000.000000,38625.000000,38900.000000,35016.953125,2094800
2015-03-25,38750.000000,38900.000000,38700.000000,38825.000000,34949.441406,2044500
2015-03-26,38750.000000,39075.000000,38500.000000,38500.000000,34656.882813,1476500
2015-03-27,38700.000000,39400.000000,38700.000000,39100.000000,35196.992188,1722000
2015-03-30,39400.000000,39900.000000,39400.000000,39650.000000,35692.089844,1508000
2015-03-31,40500.000000,40500.000000,39650.000000,39650.000000,35692.089844,3644100
2015-04-01,39200.000000,39600.000000,38975.000000,39025.000000,35129.476563,1613900
2015-04-02,39550.000000,39550.000000,38975.000000,39050.000000,35151.976563,1478600
2015-04-06,39075.000000,39575.000000,39075.000000,39300.000000,35377.027344,375200
2015-04-07,39300.000000,39900.000000,39300.000000,39800.000000,35827.117188,1432200
2015-04-08,39825.000000,39875.000000,38675.000000,38700.000000,34836.917969,2800300
2015-04-09,38750.000000,39350.000000,38750.000000,39350.000000,35422.039063,1584000
